SL. No,Age,Education,Employment,Income,Marital status,Violence
1,30,2,0,0,1,1
2,47,3,0,0,1,0
3,24,3,0,0,0,0
4,22,3,0,0,0,0
5,50,1,0,0,1,1
6,21,3,0,0,0,1
7,30,3,0,0,1,0
8,27,3,0,0,1,0
9,20,3,0,0,0,0
10,18,2,0,0,1,0
11,40,1,0,0,1,0
12,45,1,0,0,1,1
13,45,0,0,0,1,0
14,40,0,0,0,1,1
15,50,1,0,0,1,1
16,43,1,0,0,1,0
17,18,2,0,0,0,0
18,15,2,0,0,0,0
19,44,1,0,0,1,0
20,35,2,0,0,1,0
21,40,1,0,0,1,0
22,50,0,0,0,1,1
23,40,3,0,0,1,1
24,35,0,0,0,1,1
25,44,1,0,0,1,0
26,23,2,0,0,1,1
27,24,1,0,0,1,1
28,19,2,0,0,0,0
29,27,2,0,0,1,0
30,20,2,0,0,1,0
31,18,2,0,0,1,0
32,23,2,0,0,1,0
33,19,2,0,0,1,0
34,19,2,0,0,1,0
35,50,1,0,0,1,1
36,25,2,0,0,1,0
37,19,2,0,0,0,0
38,30,1,0,0,1,1
39,24,1,0,0,1,0
40,23,3,0,0,0,0
41,20,2,0,0,0,0
42,50,0,0,0,1,1
43,21,2,0,0,0,0
44,32,3,0,0,0,0
45,30,3,0,0,0,0
46,25,2,0,0,1,0
47,26,2,0,0,1,1
48,40,1,0,0,1,1
49,50,1,0,0,1,1
50,43,0,0,0,1,1
51,35,3,0,0,1,1
52,40,1,0,0,1,1
53,40,2,0,0,1,1
54,25,2,0,0,1,0
55,23,2,0,0,1,0
56,37,3,0,0,1,1
57,33,1,0,0,1,1
58,23,2,0,0,1,0
59,42,0,0,0,1,1
60,33,1,0,0,1,1
61,30,1,0,0,1,1
62,33,2,0,0,1,0
63,23,2,0,0,1,0
64,22,3,0,0,1,1
65,19,2,0,0,1,1
66,25,1,0,0,1,1
67,30,2,0,0,1,1
68,40,2,0,0,1,0
69,27,1,0,0,1,1
70,24,1,0,0,1,1
71,30,1,0,0,1,0
72,35,1,0,0,1,1
73,50,1,0,0,1,1
74,47,1,0,0,1,1
75,20,2,0,0,1,0
76,23,2,0,0,1,0
77,30,3,0,0,1,0
78,40,1,0,0,1,1
79,54,1,0,0,1,1
80,33,1,0,0,1,0
81,40,0,0,0,1,0
82,35,0,0,0,1,0
83,22,1,0,0,1,0
84,34,0,0,0,1,0
85,45,1,0,0,1,0
86,27,0,0,0,1,0
87,45,0,0,0,1,0
88,39,1,0,0,1,1
89,37,0,0,0,1,0
90,21,2,0,0,0,0
91,29,0,0,0,1,0
92,23,1,0,0,1,0
93,51,0,0,0,1,0
94,33,1,0,0,0,0
95,25,2,0,0,1,0
96,26,0,0,0,1,0
97,50,0,0,0,1,0
98,29,1,0,0,1,0
99,28,1,0,0,1,0
100,18,0,0,0,1,0
101,35,0,0,0,1,1
102,34,3,0,0,1,0
103,25,0,0,0,1,0
104,46,1,0,0,1,1
105,19,2,0,0,1,0
106,40,0,0,0,1,0
107,22,1,0,0,1,0
108,18,1,0,0,1,1
109,30,3,0,0,1,0
110,21,2,0,0,0,0
111,55,0,0,0,1,0
112,32,0,0,0,1,0
113,35,0,0,0,1,0
114,18,2,0,0,0,0
115,35,1,0,0,1,0
116,36,0,0,0,1,0
117,50,1,0,0,1,0
118,30,2,0,0,1,0
119,24,3,0,0,0,0
120,47,0,0,0,1,0
121,30,0,0,0,1,0
122,30,3,0,0,1,0
123,35,1,0,0,1,0
124,55,0,0,0,1,1
125,19,2,0,0,0,0
126,19,2,0,0,0,0
127,38,1,0,0,1,0
128,25,0,0,0,1,0
129,35,0,0,0,1,0
130,30,1,0,0,1,0
131,24,0,0,0,1,0
132,20,1,0,0,1,0
133,40,0,0,0,1,0
134,56,0,0,0,1,0
135,15,1,0,0,0,1
136,26,2,0,0,1,0
137,60,1,0,0,1,0
138,44,1,0,0,1,0
139,17,2,0,0,0,0
140,45,1,0,0,1,0
141,19,0,0,0,1,1
142,43,0,0,0,1,0
143,22,0,0,0,1,0
144,44,1,0,0,1,0
145,30,2,0,0,1,0
146,39,0,0,0,1,0
147,40,0,0,0,1,0
148,42,0,0,0,1,0
149,18,2,0,0,0,0
150,30,1,0,0,1,0
151,25,0,0,0,1,0
152,51,1,0,0,1,0
153,23,3,0,0,1,0
154,33,0,0,0,1,0
155,25,3,0,0,0,0
156,50,0,0,0,1,1
157,45,1,0,0,1,1
158,30,3,0,0,1,0
159,26,3,0,0,1,0
160,35,2,0,0,1,0
161,32,2,0,0,1,0
162,26,2,0,0,1,0
163,23,1,0,0,1,0
164,20,1,0,0,1,0
165,22,1,0,0,1,0
166,19,1,0,0,1,0
167,35,1,0,0,1,0
168,25,1,0,0,1,0
169,47,1,0,0,1,1
170,44,1,0,0,1,0
171,33,1,0,0,1,0
172,28,1,0,0,1,0
173,19,3,0,0,0,0
174,35,1,0,0,1,1
175,40,1,0,0,1,1
176,29,2,0,0,1,0
177,20,1,0,0,1,1
178,26,2,0,0,1,1
179,24,2,0,0,1,0
180,33,2,0,0,1,1
181,21,1,0,0,1,1
182,22,1,0,0,1,0
183,23,1,0,0,1,1
184,25,1,0,0,1,1
185,30,2,0,0,1,1
186,23,1,0,0,1,1
187,28,1,0,0,1,0
188,25,1,0,0,1,1
189,30,1,0,0,1,0
190,29,3,0,0,1,0
191,44,1,0,0,1,0
192,23,2,0,0,1,0
193,20,1,0,0,1,1
194,21,1,0,0,1,0
195,19,2,0,0,0,0
196,29,2,0,0,1,1
197,26,2,0,0,1,0
198,44,2,0,0,1,0
199,22,2,0,0,1,0
200,34,1,0,0,1,0
201,46,1,0,0,1,1
202,38,1,0,0,1,0
203,33,2,0,0,1,0
204,29,3,0,0,1,1
205,34,2,0,0,1,0
206,26,2,0,0,1,0
207,33,2,0,0,1,0
208,44,1,0,0,1,0
209,25,1,0,0,1,1
210,36,1,0,0,1,0
211,22,2,0,0,1,0
212,28,1,0,0,1,0
213,46,1,0,0,1,0
214,42,1,0,0,1,0
215,33,2,0,0,1,0
216,21,1,0,0,1,0
217,24,1,0,0,1,1
218,32,3,0,0,1,1
219,33,1,0,0,1,0
220,25,2,0,0,1,0
221,25,2,0,0,1,0
222,29,1,0,0,1,0
223,21,2,0,0,0,0
224,36,1,0,0,1,0
225,44,1,0,0,1,0
226,31,1,0,0,1,0
227,30,2,0,0,1,0
228,27,2,0,0,1,0
229,20,2,0,0,1,0
230,24,2,0,0,0,0
231,33,1,0,0,1,0
232,22,2,0,0,1,0
233,24,2,0,0,1,0
234,42,1,0,0,1,1
235,38,1,0,0,1,0
236,28,2,0,0,1,1
237,22,2,0,0,0,0
238,21,1,0,0,0,0
239,23,2,0,0,1,0
240,34,2,0,0,1,0
241,36,1,0,0,1,0
242,25,2,0,0,1,0
243,45,1,0,0,1,0
244,31,2,0,0,1,1
245,22,2,0,0,0,0
246,28,2,0,0,1,1
247,36,1,0,0,1,0
248,41,1,0,0,1,0
249,20,2,0,0,1,0
250,31,2,0,0,1,1
251,36,1,0,0,1,0
252,31,2,0,0,1,0
253,47,1,0,0,1,0
254,23,2,0,0,0,1
255,36,1,0,0,1,0
256,38,1,0,0,1,0
257,28,2,0,0,1,0
258,29,2,0,0,1,0
259,31,1,0,0,1,0
260,43,1,0,0,1,1
261,44,1,0,0,1,0
262,21,2,0,0,0,0
263,20,2,0,0,1,0
264,23,2,0,0,1,1
265,36,1,0,0,1,0
266,42,1,0,0,1,0
267,33,1,0,0,1,0
268,23,2,0,0,0,0
269,32,1,0,0,1,1
270,50,1,0,8,1,0
271,19,2,2,1000,0,0
272,45,0,0,1000,1,0
273,22,2,2,1200,1,1
274,33,1,2,1500,1,0
275,30,1,2,2000,1,0
276,18,2,2,2000,0,0
277,25,1,2,2000,1,0
278,22,1,2,2000,1,0
279,24,2,1,2000,0,0
280,29,1,2,2200,1,0
281,23,0,2,2500,1,0
282,27,2,2,2500,1,1
283,26,1,2,2500,1,0
284,46,1,1,2500,1,1
285,20,3,2,3000,0,0
286,27,1,2,3000,1,0
287,21,2,2,3000,0,0
288,25,2,2,3000,0,0
289,27,1,2,3000,1,0
290,19,2,2,3000,1,0
291,50,3,1,3500,1,1
292,26,2,2,3500,1,0
293,25,1,2,3500,1,0
294,30,2,2,4000,1,0
295,48,2,2,4000,1,0
296,21,2,2,4000,0,0
297,43,1,2,4000,1,0
298,50,1,1,5000,1,0
299,45,0,2,5000,1,1
300,20,2,2,5000,0,0
301,27,0,2,5000,1,0
302,29,2,2,5000,0,0
303,23,3,2,5000,0,0
304,22,2,2,5000,1,1
305,28,2,1,5000,1,1
306,42,0,2,5500,1,0
307,45,0,2,5500,1,0
308,25,0,2,6000,1,0
309,31,3,2,6000,1,0
310,28,3,2,6000,1,0
311,22,2,2,6000,1,0
312,27,2,2,7000,1,0
313,39,1,1,7000,1,1
314,26,3,2,8000,0,0
315,45,0,2,8000,1,0
316,48,1,2,8000,1,1
317,44,1,2,9000,1,0
318,27,3,2,10000,1,0
319,40,0,2,10000,1,0
320,30,1,2,10000,1,0
321,18,2,1,10000,0,0
322,28,3,1,12000,1,0
323,30,2,2,12000,1,0
324,35,0,2,15000,1,0
325,25,1,1,15000,1,1
326,23,2,1,15000,1,0
327,26,1,1,15000,1,0
328,26,2,2,18000,1,0
329,22,2,1,20000,1,0
330,43,3,1,22000,1,0
331,37,3,1,22000,1,0
332,35,3,1,22000,1,0
333,30,3,1,22000,1,0
334,30,3,1,22000,1,0
335,42,3,1,24000,1,0
336,40,3,1,24000,1,0
337,43,3,1,24000,1,1
338,40,3,1,25000,1,0
339,26,3,1,25000,1,0
340,29,2,1,25000,1,0
341,45,3,1,27000,1,0
342,45,3,1,28000,1,0
343,27,3,2,30000,0,0
344,26,3,1,35000,1,0
345,27,1,0,0,1,1
346,29,1,0,0,1,0
347,24,2,0,0,1,0
